0.147031E-4;0.476578E-4;106.530;95.2342
0.150385E-4;0.484050E-4;107.496;95.1595
0.153775E-4;0.491553E-4;108.462;95.0845
0.157201E-4;0.499089E-4;109.428;95.0091
0.160663E-4;0.506655E-4;110.393;94.9334
0.164160E-4;0.514252E-4;111.358;94.8575
0.167693E-4;0.521880E-4;112.323;94.7812
0.171262E-4;0.529538E-4;113.287;94.7046
0.174866E-4;0.537224E-4;114.251;94.6278
0.178505E-4;0.544940E-4;115.215;94.5506
0.182178E-4;0.552685E-4;116.178;94.4732
0.185886E-4;0.560457E-4;117.141;94.3954
0.189629E-4;0.568258E-4;118.104;94.3174
0.193406E-4;0.576085E-4;119.066;94.2391
0.197217E-4;0.583940E-4;120.028;94.1606
0.201061E-4;0.591821E-4;120.989;94.0818
0.204939E-4;0.599728E-4;121.951;94.0027
0.208851E-4;0.607661E-4;122.911;93.9234
0.212796E-4;0.615619E-4;123.872;93.8438
0.216774E-4;0.623603E-4;124.832;93.7640
0.220784E-4;0.631611E-4;125.792;93.6839
0.224828E-4;0.639643E-4;126.752;93.6036
0.228903E-4;0.647699E-4;127.711;93.5230
0.233011E-4;0.655779E-4;128.670;93.4422
0.237151E-4;0.663882E-4;129.628;93.3612
0.241323E-4;0.672008E-4;130.587;93.2799
0.245526E-4;0.680156E-4;131.545;93.1984
0.249760E-4;0.688327E-4;132.502;93.1167
0.254026E-4;0.696519E-4;133.460;93.0348
0.258323E-4;0.704734E-4;134.417;92.9527
0.262651E-4;0.712969E-4;135.373;92.8703
0.267009E-4;0.721226E-4;136.330;92.7877
0.271398E-4;0.729503E-4;137.286;92.7050
0.275816E-4;0.737801E-4;138.242;92.6220
0.280265E-4;0.746118E-4;139.197;92.5388
0.284744E-4;0.754456E-4;140.153;92.4554
0.289252E-4;0.762813E-4;141.107;92.3719
0.293790E-4;0.771189E-4;142.062;92.2881
0.298357E-4;0.779584E-4;143.016;92.2042
0.302952E-4;0.787998E-4;143.970;92.1200
0.307577E-4;0.796431E-4;144.924;92.0357
0.312230E-4;0.804882E-4;145.878;91.9512
0.316912E-4;0.813350E-4;146.831;91.8665
0.321622E-4;0.821836E-4;147.784;91.7816
0.326361E-4;0.830340E-4;148.736;91.6966
0.331127E-4;0.838861E-4;149.689;91.6114
0.335920E-4;0.847399E-4;150.641;91.5260
0.340742E-4;0.855953E-4;151.593;91.4405
0.345590E-4;0.864524E-4;152.544;91.3548
0.350466E-4;0.873112E-4;153.495;91.2689
0.355368E-4;0.881715E-4;154.446;91.1829
0.360298E-4;0.890334E-4;155.397;91.0967
0.365254E-4;0.898969E-4;156.347;91.0103
0.370236E-4;0.907619E-4;157.298;90.9238
0.375245E-4;0.916284E-4;158.248;90.8372
0.380279E-4;0.924964E-4;159.197;90.7504
0.385340E-4;0.933659E-4;160.147;90.6634
0.390426E-4;0.942369E-4;161.096;90.5763
0.395538E-4;0.951092E-4;162.045;90.4891
0.400675E-4;0.959830E-4;162.993;90.4017
0.405837E-4;0.968582E-4;163.942;90.3142
0.411025E-4;0.977348E-4;164.890;90.2265
0.416237E-4;0.986127E-4;165.838;90.1387
0.421474E-4;0.994920E-4;166.785;90.0508
0.426735E-4;0.100373E-3;167.733;89.9627
0.432021E-4;0.101254E-3;168.680;89.8746
0.437330E-4;0.102138E-3;169.627;89.7862
0.442664E-4;0.103022E-3;170.573;89.6978
0.448022E-4;0.103908E-3;171.520;89.6092
0.453403E-4;0.104795E-3;172.466;89.5205
0.458808E-4;0.105683E-3;173.412;89.4317
0.464236E-4;0.106572E-3;174.358;89.3428
0.469687E-4;0.107463E-3;175.303;89.2537
0.475161E-4;0.108355E-3;176.248;89.1645
0.480659E-4;0.109247E-3;177.193;89.0753
0.486178E-4;0.110142E-3;178.138;88.9858
